variable,label,dtype
ResponseID,ResponseID,object
IPAddress,IPAddress,object
StartDate,StartDate,object
EndDate,EndDate,object
Finished,Finished,object
response_id,response_id,object
assignment_id,assignment_id,object
completion_code,completion_code,object
Q_RecaptchaScore,Q_RecaptchaScore,object
Q_RelevantIDDuplicate,Q_RelevantIDDuplicate,object
Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicateScore,object
Q_RelevantIDFraudScore,Q_RelevantIDFraudScore,object
manuallyIDduplicateIP,manuallyIDduplicateIP,object
"Survey, Treatment, Prosocial","Survey, Treatment, Prosocial",object
Q_TotalDuration,Q_TotalDuration,object
StroopPractice1_Time,elapsed3,object
StroopPractice1_Score,Score3,object
StroopPractice2_Time,elapsed4,object
StroopPractice2_Score,Score4,object
StroopBaseline_Time,elapsed5,object
StroopBaseline_Score,Score5,object
StroopEmotional_Time,elapsed,object
StroopEmotional_Score,Score,object
StroopEmotionalCompetitive_Time,elapsed2,object
StroopEmotionalCompetitive_Score,Score2,object
StroopEmotionalChoice_Time,elapsed6,object
StroopEmotionalChoice_Score,Score6,object
"Surveys, Control, Prosocial","Surveys, Control, Prosocial",object
StroopControl_Time,elapsed7,object
StroopControl_Score,Score7,object
StroopControlCompetitive_Time,elapsed8,object
StroopControlCompetitive_Score,Score8,object
StroopControlChoice_Time,elapsed9,object
StroopControlChoice_Score,Score9,object
"Treatment, Prosocial, Surveys","Treatment, Prosocial, Surveys",object
"Control, Prosocial, Surveys","Control, Prosocial, Surveys",object
"Prosocial, Treatment, Surveys","Prosocial, Treatment, Surveys",object
"Prosocial, Control, Surveys","Prosocial, Control, Surveys",object
completed,completed,object
Anxiety Score,TScoreA,object
Depression Score,TScoreD,object
Anxiety Severity,ASeverity,object
Depression Severity,DSeverity,object
Intro,Hello! We are graduate students from University of San Francisco conducting research into the eco...,object
Q3051_1_TEXT,Click to write the question text-Browser,object
Q3051_2_TEXT,Click to write the question text-Version,object
Q3051_3_TEXT,Click to write the question text-Operating System,object
Q3051_4_TEXT,Click to write the question text-Screen Resolution,object
Q3051_5_TEXT,Click to write the question text-Flash Version,object
Q3051_6_TEXT,Click to write the question text-Java Support,object
Q3051_7_TEXT,Click to write the question text-User Agent,object
Informed Consent ,I HAVE READ THE ABOVE INFORMATION. ANY QUESTIONS I HAVE ASKED HAVE BEEN ANSWERED. I AGREE TO PART...,object
Alone,You must take this survey alone and without assistance. I am taking this survey by myself and wit...,object
No Repeat,You can only take this survey once. I have taken this survey before,object
Ukrainian,You must be a Ukrainian adult living in Ukraine.  Are you a Ukrainian adult living in Ukraine?,object
Age,How old are you?,object
Gender,What is your gender?,object
