study_ID,assignment_id,grouping
775,bot_SV_eUHQR9fgYjK9OWW_e0c45fac-809a-43ea-97e2-6e46aa5976b2,PTS
775,bot_SV_eUHQR9fgYjK9OWW_90b91753-0ac7-44b5-acec-3a7b14889818,STP
775,bot_SV_eUHQR9fgYjK9OWW_8b554974-4f50-48fd-8dad-2e2a23d6c3e3,TPS
775,bot_SV_eUHQR9fgYjK9OWW_b4cea80d-39d7-4c69-97c6-a44ea04b8fd1,TPS
775,bot_SV_eUHQR9fgYjK9OWW_4d1369ff-7e1c-4891-877d-b65f4df8455c,SCP
775,bot_SV_eUHQR9fgYjK9OWW_084ed095-b37d-4e56-ac21-31c59fa10a10,PCS
775,bot_SV_eUHQR9fgYjK9OWW_8f857e1c-1799-47ba-94ac-d7d4cddd5b5a,PTS
775,bot_SV_eUHQR9fgYjK9OWW_78d0b220-1915-41f1-81fa-0951e3dbb9d2,TPS
775,bot_SV_eUHQR9fgYjK9OWW_616bb358-b283-4a39-be0e-5d41b9e2180c,STP
775,bot_SV_eUHQR9fgYjK9OWW_b527f463-bbde-4174-8d9a-af8b16065b6e,TPS
775,bot_SV_eUHQR9fgYjK9OWW_355b2a3f-6fc4-4957-ab2b-d2b7d0b2a917,PCS
775,bot_SV_eUHQR9fgYjK9OWW_2ff8b7b1-fa5c-49c3-b31b-409413c7003b,PTS
775,bot_SV_eUHQR9fgYjK9OWW_75878817-b58b-4174-86a9-d76995b04195,CPS
775,bot_SV_eUHQR9fgYjK9OWW_43cfb477-2a1e-49fb-a347-0ccb0dbc44bf,STP
775,bot_SV_eUHQR9fgYjK9OWW_ca25e25d-9005-485f-9ea8-158c8f15d09a,PCS
775,bot_SV_eUHQR9fgYjK9OWW_16b7ab65-c411-40e5-a3ef-30105d309450,PTS
775,bot_SV_eUHQR9fgYjK9OWW_b2b4000f-45e5-4d20-9978-9b3489c2b87a,PTS
775,bot_SV_eUHQR9fgYjK9OWW_ec944bc2-89ae-4d7c-ad84-98eff1766678,TPS
775,bot_SV_eUHQR9fgYjK9OWW_1170587c-2dab-41b4-a657-554e90222f09,CPS
775,bot_SV_eUHQR9fgYjK9OWW_6e00d167-1b15-4a09-bd9c-16a6e3c32cb8,CPS
775,bot_SV_eUHQR9fgYjK9OWW_2ebabef9-0492-43ed-b003-a15fa77456e0,TPS
775,bot_SV_eUHQR9fgYjK9OWW_e0de3757-754c-4063-accb-c68c09fe5c12,SCP
775,bot_SV_eUHQR9fgYjK9OWW_47fb512e-2ca1-4cc9-ad54-3ab4c08fcf57,TPS
775,bot_SV_eUHQR9fgYjK9OWW_00fb4fda-cec7-4812-b89c-894ee2f7eca2,PTS
775,bot_SV_eUHQR9fgYjK9OWW_4643ea2f-c3cc-476c-bd44-19bbf790ab62,PCS
775,bot_SV_eUHQR9fgYjK9OWW_77b9a0d8-e6a4-4c47-8e63-c223f0ac4190,PCS
775,bot_SV_eUHQR9fgYjK9OWW_c859e427-404b-46cc-a8f1-f5f8acb567af,SCP
775,bot_SV_eUHQR9fgYjK9OWW_d79f99f6-82a2-41dc-aed0-30733a862c73,CPS
775,bot_SV_eUHQR9fgYjK9OWW_db27df19-683b-40e1-8efc-3a47dd987690,TPS
775,bot_SV_eUHQR9fgYjK9OWW_459c5ec5-b1bc-442e-b465-42998257755a,SCP
775,bot_SV_eUHQR9fgYjK9OWW_a327ef96-0937-4af7-81dd-a8dd14008e7a,STP
775,bot_SV_eUHQR9fgYjK9OWW_81902d5b-0778-4b6a-b64c-14d661a8d3d1,PCS
775,bot_SV_eUHQR9fgYjK9OWW_196cf6a6-fc15-42a3-beb7-710ded7ac8dd,SCP
775,bot_SV_eUHQR9fgYjK9OWW_d04f9026-1087-4e32-b6d4-ccdf2404997a,PTS
775,bot_SV_eUHQR9fgYjK9OWW_1256db0d-ec6f-4714-bf42-f80bda77e4c1,PTS
775,bot_SV_eUHQR9fgYjK9OWW_047ca879-f726-4455-ac8f-f6a497d163de,CPS
775,bot_SV_eUHQR9fgYjK9OWW_a9548c95-cd79-4736-82ba-ee230beb8822,STP
775,bot_SV_eUHQR9fgYjK9OWW_03aa52bb-2bb3-4807-8cb5-457e412c0b07,CPS
775,bot_SV_eUHQR9fgYjK9OWW_b75463a5-4f61-457e-93e0-ac6ccdcfc0c5,SCP
775,bot_SV_eUHQR9fgYjK9OWW_12d0489e-984f-4fdf-9f5f-7f6a0c793616,CPS
775,bot_SV_eUHQR9fgYjK9OWW_39d2b89d-b126-49e9-b90d-6dddb1520b1c,STP
775,bot_SV_eUHQR9fgYjK9OWW_979ff66f-2f5f-42ed-8219-e5a91c11242c,PTS
775,bot_SV_eUHQR9fgYjK9OWW_9058ab03-d1d5-4183-a5e8-89d6e5eee5b3,TPS
775,bot_SV_eUHQR9fgYjK9OWW_f8bce7ec-51f0-4c25-b502-f21e3eae54b7,STP
775,bot_SV_eUHQR9fgYjK9OWW_cf542a23-c187-42fa-8447-650e313dd838,SCP
775,bot_SV_eUHQR9fgYjK9OWW_633d1e08-3139-4ef4-a2c2-47356b8c1e77,PCS
775,bot_SV_eUHQR9fgYjK9OWW_327ce2cd-05b4-4d54-a02b-6635498c16c9,STP
775,bot_SV_eUHQR9fgYjK9OWW_2569d4b2-8008-4918-b465-0b42cbc4c8c8,CPS
775,bot_SV_eUHQR9fgYjK9OWW_0b4d8d70-12fd-4d90-bbc5-5d57d744160e,CPS
775,bot_SV_eUHQR9fgYjK9OWW_6541c20a-1887-4b36-8238-3f8498e6f90f,SCP
775,bot_SV_eUHQR9fgYjK9OWW_a21cf20f-5f52-4dee-8af1-4b64b0b93992,PCS
775,bot_SV_eUHQR9fgYjK9OWW_a9f89bc4-760f-4909-8a2f-80b25b619647,PTS
775,bot_SV_eUHQR9fgYjK9OWW_ec76f07c-6b66-49aa-b056-cda35e37e2ab,TPS
775,bot_SV_eUHQR9fgYjK9OWW_e0b0850a-a7d7-43ec-a48b-9757f3524017,SCP
775,bot_SV_eUHQR9fgYjK9OWW_84609e99-1a70-4d28-88a1-6ecdcd00ec95,CPS
775,bot_SV_eUHQR9fgYjK9OWW_6c0c3a9e-d1d8-40ef-8b2e-2dc3a828a3da,SCP
775,bot_SV_eUHQR9fgYjK9OWW_2726d3fb-09cf-429b-a971-05c7f8e893ab,STP
775,bot_SV_eUHQR9fgYjK9OWW_5a901855-5733-4b4e-9abc-899a0cc8e7a1,STP
775,bot_SV_eUHQR9fgYjK9OWW_7b4a79de-b465-4032-9dad-aee75e912a3f,SCP
775,bot_SV_eUHQR9fgYjK9OWW_1ae81d15-86f7-42b6-8bef-6856d117379b,TPS
775,bot_SV_eUHQR9fgYjK9OWW_f59a5999-fa12-4d81-ba8a-2fd035a756b6,CPS
775,bot_SV_eUHQR9fgYjK9OWW_cf7b0742-1297-4748-8257-3aaf5c1d3899,TPS
775,bot_SV_eUHQR9fgYjK9OWW_a051ea3f-c9b2-4d12-9b54-73013dd40552,PCS
775,bot_SV_eUHQR9fgYjK9OWW_56dacd73-8025-401e-a5c5-dee4f159cd3f,PCS
775,bot_SV_eUHQR9fgYjK9OWW_1e3ce9de-178c-4785-a335-194f3e0ac8f8,PTS
775,bot_SV_eUHQR9fgYjK9OWW_00c212e7-0731-49c9-9143-47b8b537b9be,CPS
775,bot_SV_eUHQR9fgYjK9OWW_46fe26e9-41b1-4c5d-b5cd-506f5cadc924,SCP
775,bot_SV_eUHQR9fgYjK9OWW_c80530f0-fd18-47b6-ace8-4df850888014,PTS
775,bot_SV_eUHQR9fgYjK9OWW_5fb7e1c4-450a-4d9c-9216-0b7279efd0a7,STP
775,bot_SV_eUHQR9fgYjK9OWW_80254821-740c-4747-bf6b-6519743e7909,PTS
775,bot_SV_eUHQR9fgYjK9OWW_8af00999-6e09-4d49-9c59-28be7bd6071e,PTS
775,bot_SV_eUHQR9fgYjK9OWW_b802cf4c-cc63-4eea-9790-2b713b5048e2,SCP
775,bot_SV_eUHQR9fgYjK9OWW_99e78f2a-80f8-4d0d-9959-62c8bcf29ee5,CPS
775,bot_SV_eUHQR9fgYjK9OWW_ae278abe-981b-4a49-b2e3-6e4f0e72a3d2,STP
775,bot_SV_eUHQR9fgYjK9OWW_8625282c-c331-41b5-b59b-6761c3789adf,PCS
775,bot_SV_eUHQR9fgYjK9OWW_2c15947d-e874-4b7f-bc9c-eb470bce71ec,SCP
775,bot_SV_eUHQR9fgYjK9OWW_67abaff3-960f-4261-9f75-85260fd47bbb,PTS
775,bot_SV_eUHQR9fgYjK9OWW_eef922e1-0282-4b4b-bc07-14cffd251a37,TPS
775,bot_SV_eUHQR9fgYjK9OWW_acedb2ed-06ff-4234-81e1-464195b8578a,STP
775,bot_SV_eUHQR9fgYjK9OWW_c7398eda-25cc-4ea0-8f26-5fe72919e3b4,TPS
