ResponseID,response_id,assignment_id,completion_code,numericDate
R_2Cfz9Xs3L3JFnoM,1949.0,00026a2bba--64da15fab737586735055b0b,2013317.0,2023-08-14 06:21:00
R_xGvOBak04ssarcZ,1942.0,00026a2bba--64da191e277a20612d3cd7f1,2006086.0,2023-08-14 06:21:35
R_2YWHYsMz9Pcrmky,1954.0,00026a2bba--64da17963943bb1abc94152e,2018482.0,2023-08-14 06:24:20
R_31sgdlXTTt75qmn,1952.0,00026a2bba--64da17643366bb4a1d86254a,2016416.0,2023-08-14 06:31:34
R_1eRbXe2hX8NZbVn,1944.0,00026a2bba--64da169fb73758673505894f,2008152.0,2023-08-14 06:32:22
R_1cUqOMYl2cGkRyH,1959.0,00026a2bba--64da16d1b7375867350595d1,2023647.0,2023-08-14 06:36:50
R_1FdYxe8kxEpgW1b,1943.0,00026a2bba--64da17c43943bb1abc941f33,2007119.0,2023-08-14 06:43:17
R_1QEpWpnzzFFHgGx,1945.0,00026a2bba--64da1c5b277a20612d3d90dd,2009185.0,2023-08-14 06:46:11
R_6LNghG6q1AKaFPP,1941.0,00026a2bba--64da1eff995b3f14b535c046,2005053.0,2023-08-14 06:57:21
R_2rSEgMmspkTLWVR,1951.0,00026a2bba--64da1de5312d8529300e1c38,2015383.0,2023-08-14 07:00:27
R_2q7vx83qqYYouDZ,1955.0,00026a2bba--64da1cfbf867734797a36004,2019515.0,2023-08-14 07:05:07
R_UxskEPLLYAX0ieB,1956.0,00026a2bba--64da1cba2d2b3466ed1a83fd,2020548.0,2023-08-14 07:08:19
R_1q3Uy02vqHtRzrv,1953.0,00026a2bba--64da1762873d5e5575021635,2017449.0,2023-08-14 07:13:13
R_QcuSPsgw4zK5OP7,1957.0,00026a2bba--64da1a05995b3f14b534f2b3,2021581.0,2023-08-14 07:29:17
R_1eKRHKuziYkVEC8,1958.0,00026a2bba--64da1e93873d5e557503aeb8,2022614.0,2023-08-14 07:38:39
